항목,지역,연도,환자수,단위
감기,충북,2024-04,92973,명
감기,충북,2024-05,82516,명
감기,충북,2024-06,64935,명
감기,충남,2021-06,61707,명
감기,충남,2021-07,48119,명
감기,충남,2021-08,44472,명
감기,충남,2021-09,66074,명
감기,충남,2021-10,81105,명
감기,충남,2021-11,104455,명
감기,충남,2021-12,80547,명
감기,충남,2022-01,73993,명
감기,충남,2022-02,92609,명
감기,충남,2022-03,147106,명
감기,충남,2022-04,107113,명
감기,충남,2022-05,77392,명
감기,충남,2022-06,65206,명
감기,충남,2022-07,79959,명
감기,충남,2022-08,89002,명
감기,충남,2022-09,91922,명
감기,충남,2022-10,101792,명
감기,충남,2022-11,120914,명
감기,충남,2022-12,144061,명
감기,충남,2023-01,110815,명
감기,충남,2023-02,94460,명
감기,충남,2023-03,131997,명
감기,충남,2023-04,150481,명
감기,충남,2023-05,140311,명
감기,충남,2023-06,103463,명
감기,충남,2023-07,115217,명
감기,충남,2023-08,107400,명
감기,충남,2023-09,115481,명
감기,충남,2023-10,141768,명
감기,충남,2023-11,163210,명
감기,충남,2023-12,174135,명
감기,충남,2024-01,150517,명
감기,충남,2024-02,116847,명
감기,충남,2024-03,134121,명
감기,충남,2024-04,126690,명
감기,충남,2024-05,118608,명
감기,충남,2024-06,93617,명
감기,전북,2021-06,64609,명
감기,전북,2021-07,52444,명
감기,전북,2021-08,45955,명
감기,전북,2021-09,66103,명
감기,전북,2021-10,86329,명
감기,전북,2021-11,104567,명
감기,전북,2021-12,79693,명
감기,전북,2022-01,70885,명
감기,전북,2022-02,94053,명
감기,전북,2022-03,152523,명
감기,전북,2022-04,110352,명
감기,전북,2022-05,83885,명
감기,전북,2022-06,67298,명
감기,전북,2022-07,81822,명
감기,전북,2022-08,95290,명
감기,전북,2022-09,92354,명
감기,전북,2022-10,106991,명
감기,전북,2022-11,125695,명
감기,전북,2022-12,145137,명
감기,전북,2023-01,119983,명
감기,전북,2023-02,104546,명
감기,전북,2023-03,135230,명
감기,전북,2023-04,145308,명
감기,전북,2023-05,136948,명
감기,전북,2023-06,104111,명
감기,전북,2023-07,110021,명
감기,전북,2023-08,109602,명
감기,전북,2023-09,107694,명
감기,전북,2023-10,137903,명
감기,전북,2023-11,154231,명
감기,전북,2023-12,163634,명
감기,전북,2024-01,147711,명
감기,전북,2024-02,114877,명
감기,전북,2024-03,130377,명
감기,전북,2024-04,126176,명
감기,전북,2024-05,116885,명
감기,전북,2024-06,89111,명
감기,전남,2021-06,44675,명
감기,전남,2021-07,41533,명
감기,전남,2021-08,32760,명
감기,전남,2021-09,50708,명
감기,전남,2021-10,64757,명
감기,전남,2021-11,79410,명
감기,전남,2021-12,66614,명
감기,전남,2022-01,60022,명
감기,전남,2022-02,63426,명
감기,전남,2022-03,123124,명
감기,전남,2022-04,96691,명
감기,전남,2022-05,68901,명
감기,전남,2022-06,55581,명
감기,전남,2022-07,66169,명
감기,전남,2022-08,78805,명
감기,전남,2022-09,75510,명
감기,전남,2022-10,87928,명
감기,전남,2022-11,105972,명
감기,전남,2022-12,128336,명
감기,전남,2023-01,111247,명
감기,전남,2023-02,89926,명
감기,전남,2023-03,111872,명
감기,전남,2023-04,120753,명
감기,전남,2023-05,117028,명
감기,전남,2023-06,84350,명
감기,전남,2023-07,93915,명
감기,전남,2023-08,89458,명
감기,전남,2023-09,89017,명
감기,전남,2023-10,110117,명
감기,전남,2023-11,131376,명
감기,전남,2023-12,145017,명
감기,전남,2024-01,135486,명
감기,전남,2024-02,103271,명
감기,전남,2024-03,113661,명
감기,전남,2024-04,106473,명
감기,전남,2024-05,100243,명
감기,전남,2024-06,76974,명
감기,경북,2021-06,70457,명
감기,경북,2021-07,56412,명
감기,경북,2021-08,51927,명
감기,경북,2021-09,70287,명
감기,경북,2021-10,95053,명
감기,경북,2021-11,113905,명
감기,경북,2021-12,88049,명
감기,경북,2022-01,79027,명
감기,경북,2022-02,101340,명
감기,경북,2022-03,164425,명
감기,경북,2022-04,123743,명
감기,경북,2022-05,88505,명
감기,경북,2022-06,74068,명
감기,경북,2022-07,88844,명
감기,경북,2022-08,108208,명
감기,경북,2022-09,101466,명
감기,경북,2022-10,117305,명
감기,경북,2022-11,145217,명
감기,경북,2022-12,183429,명
감기,경북,2023-01,137250,명
감기,경북,2023-02,113181,명
감기,경북,2023-03,139343,명
감기,경북,2023-04,160332,명
감기,경북,2023-05,153714,명
감기,경북,2023-06,114601,명
감기,경북,2023-07,122004,명
감기,경북,2023-08,117366,명
감기,경북,2023-09,124316,명
감기,경북,2023-10,156216,명
감기,경북,2023-11,181582,명
감기,경북,2023-12,198815,명
감기,경북,2024-01,176107,명
감기,경북,2024-02,136513,명
감기,경북,2024-03,153138,명
감기,경북,2024-04,144767,명
감기,경북,2024-05,132464,명
감기,경북,2024-06,99350,명
감기,경남,2021-06,92065,명
감기,경남,2021-07,74223,명
감기,경남,2021-08,63377,명
감기,경남,2021-09,96365,명
감기,경남,2021-10,133610,명
감기,경남,2021-11,154059,명
감기,경남,2021-12,123736,명
감기,경남,2022-01,126830,명
감기,경남,2022-02,164235,명
감기,경남,2022-03,254074,명
감기,경남,2022-04,165206,명
감기,경남,2022-05,119523,명
감기,경남,2022-06,95757,명
감기,경남,2022-07,122307,명
감기,경남,2022-08,143709,명
감기,경남,2022-09,137425,명
감기,경남,2022-10,156762,명
감기,경남,2022-11,202866,명
감기,경남,2022-12,253134,명
감기,경남,2023-01,190807,명
감기,경남,2023-02,161387,명
감기,경남,2023-03,201676,명
감기,경남,2023-04,218558,명
감기,경남,2023-05,213698,명
감기,경남,2023-06,169526,명
감기,경남,2023-07,188492,명
감기,경남,2023-08,160712,명
감기,경남,2023-09,172798,명
감기,경남,2023-10,218510,명
감기,경남,2023-11,251445,명
감기,경남,2023-12,279572,명
감기,경남,2024-01,243991,명
감기,경남,2024-02,191366,명
감기,경남,2024-03,209444,명
감기,경남,2024-04,202503,명
감기,경남,2024-05,181988,명
감기,경남,2024-06,137882,명
감기,제주,2021-06,20817,명
감기,제주,2021-07,18723,명
감기,제주,2021-08,17741,명
감기,제주,2021-09,17705,명
감기,제주,2021-10,32593,명
감기,제주,2021-11,38269,명
감기,제주,2021-12,31283,명
감기,제주,2022-01,28936,명
감기,제주,2022-02,31864,명
감기,제주,2022-03,49627,명
감기,제주,2022-04,35630,명
감기,제주,2022-05,29460,명
감기,제주,2022-06,24297,명
감기,제주,2022-07,31867,명
감기,제주,2022-08,33724,명
감기,제주,2022-09,27898,명
감기,제주,2022-10,38919,명
감기,제주,2022-11,40950,명
감기,제주,2022-12,55427,명
감기,제주,2023-01,41439,명
감기,제주,2023-02,36636,명
감기,제주,2023-03,48912,명
감기,제주,2023-04,52045,명
감기,제주,2023-05,53851,명
감기,제주,2023-06,43952,명
감기,제주,2023-07,43145,명
감기,제주,2023-08,37734,명
감기,제주,2023-09,36251,명
감기,제주,2023-10,43658,명
감기,제주,2023-11,55753,명
감기,제주,2023-12,59151,명
감기,제주,2024-01,50441,명
감기,제주,2024-02,38775,명
감기,제주,2024-03,47694,명
감기,제주,2024-04,42066,명
감기,제주,2024-05,41791,명
감기,제주,2024-06,34229,명
감기,세종,2021-06,15359,명
감기,세종,2021-07,10603,명
감기,세종,2021-08,9521,명
감기,세종,2021-09,15316,명
감기,세종,2021-10,18178,명
감기,세종,2021-11,24426,명
감기,세종,2021-12,15365,명
감기,세종,2022-01,14711,명
감기,세종,2022-02,17510,명
감기,세종,2022-03,29772,명
감기,세종,2022-04,24137,명
감기,세종,2022-05,19557,명
감기,세종,2022-06,16870,명
감기,세종,2022-07,21158,명
감기,세종,2022-08,21874,명
감기,세종,2022-09,23591,명
감기,세종,2022-10,26093,명
감기,세종,2022-11,29645,명
감기,세종,2022-12,36872,명
감기,세종,2023-01,26610,명
감기,세종,2023-02,22620,명
감기,세종,2023-03,33065,명
감기,세종,2023-04,38027,명
감기,세종,2023-05,33963,명
감기,세종,2023-06,25607,명
감기,세종,2023-07,28982,명
감기,세종,2023-08,28437,명
감기,세종,2023-09,30227,명
감기,세종,2023-10,37217,명
감기,세종,2023-11,41775,명
감기,세종,2023-12,45704,명
감기,세종,2024-01,35799,명
감기,세종,2024-02,25827,명
감기,세종,2024-03,34657,명
감기,세종,2024-04,33102,명
감기,세종,2024-05,30343,명
감기,세종,2024-06,24240,명
